Data scraped on 02-Mar-2022 17:13:06

id|category|title|director|actors|rating|users_rated|year|url
10872600|Movie|Spider-Man: No Way Home|Jon Watts |Tom Holland, Zendaya|8.5|479,791|2021|https://www.imdb.com/title/tt10872600/
0114814|Movie|Συνήθεις ύποπτοι|Bryan Singer |Kevin Spacey, Gabriel Byrne|8.5|1,051,950|1995|https://www.imdb.com/title/tt0114814/
0407887|Movie|Ο πληροφοριοδότης|Martin Scorsese |Leonardo DiCaprio, Matt Damon|8.5|1,272,692|2006|https://www.imdb.com/title/tt0407887/
0482571|Movie|The Prestige|Christopher Nolan |Christian Bale, Hugh Jackman|8.5|1,279,869|2006|https://www.imdb.com/title/tt0482571/
0034583|Movie|Καζαμπλάνκα|Michael Curtiz |Humphrey Bogart, Ingrid Bergman|8.5|554,882|1942|https://www.imdb.com/title/tt0034583/
2582802|Movie|Χωρίς μέτρο|Damien Chazelle |Miles Teller, J.K. Simmons|8.5|794,559|2014|https://www.imdb.com/title/tt2582802/
1675434|Movie|Άθικτοι|Olivier Nakache |François Cluzet, Omar Sy|8.5|821,811|2011|https://www.imdb.com/title/tt1675434/
0027977|Movie|Μοντέρνοι καιροί|Charles Chaplin |Charles Chaplin, Paulette Goddard|8.5|234,917|1936|https://www.imdb.com/title/tt0027977/
0064116|Movie|Κάποτε στη Δύση|Sergio Leone |Henry Fonda, Charles Bronson|8.5|320,832|1968|https://www.imdb.com/title/tt0064116/
0056058|Movie|Harakiri|Masaki Kobayashi |Tatsuya Nakadai, Akira Ishihama|8.5|52,616|1962|https://www.imdb.com/title/tt0056058/
0095327|Movie|Grave of the Fireflies|Isao Takahata |Tsutomu Tatsumi, Ayano Shiraishi|8.5|262,579|1988|https://www.imdb.com/title/tt0095327/
0078748|Movie|Άλιεν, ο επιβάτης του διαστήματος|Ridley Scott |Sigourney Weaver, Tom Skerritt|8.4|844,770|1979|https://www.imdb.com/title/tt0078748/
0047396|Movie|Σιωπηλός μάρτυς|Alfred Hitchcock |James Stewart, Grace Kelly|8.4|476,384|1954|https://www.imdb.com/title/tt0047396/
0021749|Movie|Τα φώτα της πόλεως|Charles Chaplin |Charles Chaplin, Virginia Cherrill|8.4|180,099|1931|https://www.imdb.com/title/tt0021749/
0209144|Movie|Memento|Christopher Nolan |Guy Pearce, Carrie-Anne Moss|8.4|1,196,138|2000|https://www.imdb.com/title/tt0209144/
0078788|Movie|Αποκάλυψη τώρα!|Francis Ford Coppola |Martin Sheen, Marlon Brando|8.4|644,758|1979|https://www.imdb.com/title/tt0078788/
0095765|Movie|Σινεμά ο Παράδεισος|Giuseppe Tornatore |Philippe Noiret, Enzo Cannavale|8.4|251,975|1988|https://www.imdb.com/title/tt0095765/
0082971|Movie|Οι Κυνηγοί της Χαμένης Κιβωτού|Steven Spielberg |Harrison Ford, Karen Allen|8.4|935,907|1981|https://www.imdb.com/title/tt0082971/
1853728|Movie|Django, ο τιμωρός|Quentin Tarantino |Jamie Foxx, Christoph Waltz|8.4|1,474,931|2012|https://www.imdb.com/title/tt1853728/
0910970|Movie|Γουόλ-Υ|Andrew Stanton |Ben Burtt, Elissa Knight|8.4|1,071,551|2008|https://www.imdb.com/title/tt0910970/
0405094|Movie|Οι ζωές των άλλων|Florian Henckel von Donnersmarck |Ulrich Mühe, Martina Gedeck|8.4|380,300|2006|https://www.imdb.com/title/tt0405094/
0043014|Movie|Η λεωφόρος της δύσεως|Billy Wilder |William Holden, Gloria Swanson|8.4|215,711|1950|https://www.imdb.com/title/tt0043014/
0081505|Movie|Η λάμψη|Stanley Kubrick |Jack Nicholson, Shelley Duvall|8.4|973,245|1980|https://www.imdb.com/title/tt0081505/
0050825|Movie|Σταυροί στο μέτωπο|Stanley Kubrick |Kirk Douglas, Ralph Meeker|8.4|191,474|1957|https://www.imdb.com/title/tt0050825/
0032553|Movie|Ο δικτάτωρ|Charles Chaplin |Charles Chaplin, Paulette Goddard|8.4|218,177|1940|https://www.imdb.com/title/tt0032553/
4154756|Movie|Εκδικητές: Ο πόλεμος της αιωνιότητας|Anthony Russo |Robert Downey Jr., Chris Hemsworth|8.4|986,159|2018|https://www.imdb.com/title/tt4154756/
0051201|Movie|Μάρτυς κατηγορίας|Billy Wilder |Tyrone Power, Marlene Dietrich|8.4|120,608|1957|https://www.imdb.com/title/tt0051201/
0090605|Movie|Άλιενς: Η επιστροφή|James Cameron |Sigourney Weaver, Michael Biehn|8.4|693,646|1986|https://www.imdb.com/title/tt0090605/
0169547|Movie|American Beauty|Sam Mendes |Kevin Spacey, Annette Bening|8.3|1,124,013|1999|https://www.imdb.com/title/tt0169547/
1345836|Movie|Ο σκοτεινός ιππότης: Η επιστροφή|Christopher Nolan |Christian Bale, Tom Hardy|8.3|1,622,159|2012|https://www.imdb.com/title/tt1345836/
0057012|Movie|S|Stanley Kubrick |Peter Sellers, George C. Scott|8.3|476,266|1964|https://www.imdb.com/title/tt0057012/
7286456|Movie|Joker|Todd Phillips |Joaquin Phoenix, Robert De Niro|8.3|1,151,083|2019|https://www.imdb.com/title/tt7286456/
4633694|Movie|Spider-Man: Μέσα στο Αραχνο-Σύμπαν|Bob Persichetti |Shameik Moore, Jake Johnson|8.3|473,679|2018|https://www.imdb.com/title/tt4633694/
0364569|Movie|Oldboy|Park Chan-wook |Choi Min-sik, Yoo Ji-Tae|8.3|556,070|2003|https://www.imdb.com/title/tt0364569/
0112573|Movie|Braveheart|Mel Gibson |Mel Gibson, Sophie Marceau|8.3|1,008,751|1995|https://www.imdb.com/title/tt0112573/
0114709|Movie|Η ιστορία των παιχνιδιών|John Lasseter |Tom Hanks, Tim Allen|8.3|952,571|1995|https://www.imdb.com/title/tt0114709/
0086879|Movie|Αμαντέους|Milos Forman |F. Murray Abraham, Tom Hulce|8.3|390,353|1984|https://www.imdb.com/title/tt0086879/
2380307|Movie|Coco|Lee Unkrich |Anthony Gonzalez, Gael García Bernal|8.3|464,879|2017|https://www.imdb.com/title/tt2380307/
0361748|Movie|Άδοξοι Μπάσταρδοι|Quentin Tarantino |Brad Pitt, Diane Kruger|8.3|1,376,434|2009|https://www.imdb.com/title/tt0361748/
0082096|Movie|Υποβρύχιο U-96: Επιστροφή στην κόλαση|Wolfgang Petersen |Jürgen Prochnow, Herbert Grönemeyer|8.3|245,320|1981|https://www.imdb.com/title/tt0082096/
4154796|Movie|Εκδικητές: Η τελευταία πράξη|Anthony Russo |Robert Downey Jr., Chris Evans|8.3|1,019,156|2019|https://www.imdb.com/title/tt4154796/
0119698|Movie|Πριγκίπισσα Μονονόκε|Hayao Miyazaki |Yôji Matsuda, Yuriko Ishida|8.3|376,973|1997|https://www.imdb.com/title/tt0119698/
0087843|Movie|Κάποτε στην Αμερική|Sergio Leone |Robert De Niro, James Woods|8.3|339,032|1984|https://www.imdb.com/title/tt0087843/
0119217|Movie|Ο ξεχωριστός Γουίλ Χάντινγκ|Gus Van Sant |Robin Williams, Matt Damon|8.3|926,907|1997|https://www.imdb.com/title/tt0119217/
0435761|Movie|Η ιστορία των παιχνιδιών 3|Lee Unkrich |Tom Hanks, Tim Allen|8.3|805,127|2010|https://www.imdb.com/title/tt0435761/
0180093|Movie|Ρέκβιεμ για ένα όνειρο|Darren Aronofsky |Ellen Burstyn, Jared Leto|8.3|813,104|2000|https://www.imdb.com/title/tt0180093/
1187043|Movie|Οι τρεις ηλίθιοι|Rajkumar Hirani |Aamir Khan, Madhavan|8.3|379,691|2009|https://www.imdb.com/title/tt1187043/
0045152|Movie|Τραγουδώντας στη βροχή|Stanley Donen |Gene Kelly, Donald O'Connor|8.3|234,579|1952|https://www.imdb.com/title/tt0045152/
5311514|Movie|Your Name|Makoto Shinkai |Ryûnosuke Kamiki, Mone Kamishiraishi|8.3|242,951|2016|https://www.imdb.com/title/tt5311514/
0086190|Movie|Ο πόλεμος των άστρων: Επεισόδιο 6 - Η επιστροφή των Τζεντάι|Richard Marquand |Mark Hamill, Harrison Ford|8.3|1,010,972|1983|https://www.imdb.com/title/tt0086190/
0105236|Movie|Reservoir Dogs|Quentin Tarantino |Harvey Keitel, Tim Roth|8.3|980,983|1992|https://www.imdb.com/title/tt0105236/
0338013|Movie|Η αιώνια λιακάδα ενός καθαρού μυαλού|Michel Gondry |Jim Carrey, Kate Winslet|8.3|970,461|2004|https://www.imdb.com/title/tt0338013/
0062622|Movie|2001: Η οδύσσεια του διαστήματος|Stanley Kubrick |Keir Dullea, Gary Lockwood|8.3|645,378|1968|https://www.imdb.com/title/tt0062622/
0033467|Movie|Ο πολίτης Κέιν|Orson Welles |Orson Welles, Joseph Cotten|8.3|431,009|1941|https://www.imdb.com/title/tt0033467/
0057565|Movie|Tengoku to jigoku|Akira Kurosawa |Toshirô Mifune, Yutaka Sada|8.3|41,881|1963|https://www.imdb.com/title/tt0057565/
0056172|Movie|Ο Λώρενς της Αραβίας|David Lean |Peter O'Toole, Alec Guinness|8.3|285,542|1962|https://www.imdb.com/title/tt0056172/
0022100|Movie|Ο Δράκος του Ντίσελντορφ|Fritz Lang |Peter Lorre, Ellen Widmann|8.3|153,963|1931|https://www.imdb.com/title/tt0022100/
0053125|Movie|Στη σκιά των τεσσάρων γιγάντων|Alfred Hitchcock |Cary Grant, Eva Marie Saint|8.3|319,081|1959|https://www.imdb.com/title/tt0053125/
8267604|Movie|Καπερναούμ|Nadine Labaki |Zain Al Rafeea, Yordanos Shiferaw|8.3|82,461|2018|https://www.imdb.com/title/tt8267604/
2106476|Movie|Το κυνήγι|Thomas Vinterberg |Mads Mikkelsen, Thomas Bo Larsen|8.3|315,236|2012|https://www.imdb.com/title/tt2106476/
0052357|Movie|Δεσμώτης του ιλίγγου|Alfred Hitchcock |James Stewart, Kim Novak|8.3|391,186|1958|https://www.imdb.com/title/tt0052357/
0211915|Movie|Αμελί|Jean-Pierre Jeunet |Audrey Tautou, Mathieu Kassovitz|8.3|737,914|2001|https://www.imdb.com/title/tt0211915/
0066921|Movie|Το κουρδιστό πορτοκάλι|Stanley Kubrick |Malcolm McDowell, Patrick Magee|8.3|802,796|1971|https://www.imdb.com/title/tt0066921/
0093058|Movie|Metal Jacket|Stanley Kubrick |Matthew Modine, R. Lee Ermey|8.2|717,036|1987|https://www.imdb.com/title/tt0093058/
0086250|Movie|Ο σημαδεμένος|Brian De Palma |Al Pacino, Michelle Pfeiffer|8.2|801,353|1983|https://www.imdb.com/title/tt0086250/
0036775|Movie|Κολασμένη αγάπη|Billy Wilder |Fred MacMurray, Barbara Stanwyck|8.2|153,081|1944|https://www.imdb.com/title/tt0036775/
0053604|Movie|Η γκαρσονιέρα|Billy Wilder |Jack Lemmon, Shirley MacLaine|8.2|176,463|1960|https://www.imdb.com/title/tt0053604/
0091251|Movie|Έλα να δεις|Elem Klimov |Aleksey Kravchenko, Olga Mironova|8.2|72,731|1985|https://www.imdb.com/title/tt0091251/
0075314|Movie|Ο ταξιτζής|Martin Scorsese |Robert De Niro, Jodie Foster|8.2|785,615|1976|https://www.imdb.com/title/tt0075314/
8503618|Movie|Hamilton|Thomas Kail |Lin-Manuel Miranda, Phillipa Soo|8.2|83,640|2020|https://www.imdb.com/title/tt8503618/
0056592|Movie|Σκιές και σιωπή|Robert Mulligan |Gregory Peck, John Megna|8.2|309,471|1962|https://www.imdb.com/title/tt0056592/
0119488|Movie|Λος Άντζελες: Εμπιστευτικό|Curtis Hanson |Kevin Spacey, Russell Crowe|8.2|566,067|1997|https://www.imdb.com/title/tt0119488/
0070735|Movie|Το κεντρί|George Roy Hill |Paul Newman, Robert Redford|8.2|255,310|1973|https://www.imdb.com/title/tt0070735/
1049413|Movie|Ψηλά στον ουρανό|Pete Docter |Edward Asner, Jordan Nagai|8.2|1,002,736|2009|https://www.imdb.com/title/tt1049413/
0113277|Movie|Ένταση|Michael Mann |Al Pacino, Robert De Niro|8.2|626,747|1995|https://www.imdb.com/title/tt0113277/
0044741|Movie|Ο καταδικασμένος|Akira Kurosawa |Takashi Shimura, Nobuo Kaneko|8.2|75,926|1952|https://www.imdb.com/title/tt0044741/
0208092|Movie|Η αρπαχτή|Guy Ritchie |Jason Statham, Brad Pitt|8.2|829,582|2000|https://www.imdb.com/title/tt0208092/
0095016|Movie|Πολύ σκληρός για να πεθάνει|John McTiernan |Bruce Willis, Alan Rickman|8.2|850,276|1988|https://www.imdb.com/title/tt0095016/
0097576|Movie|Ο Ιντιάνα Τζόουνς και η Τελευταία Σταυροφορία|Steven Spielberg |Harrison Ford, Sean Connery|8.2|732,161|1989|https://www.imdb.com/title/tt0097576/
1832382|Movie|Ένας χωρισμός|Asghar Farhadi |Payman Maadi, Leila Hatami|8.2|239,174|2011|https://www.imdb.com/title/tt1832382/
0017136|Movie|Μητρόπολις|Fritz Lang |Brigitte Helm, Alfred Abel|8.2|170,231|1927|https://www.imdb.com/title/tt0017136/
0040522|Movie|Κλέφτης ποδηλάτων|Vittorio De Sica |Lamberto Maggiorani, Enzo Staiola|8.2|159,341|1948|https://www.imdb.com/title/tt0040522/
1255953|Movie|Μέσα από τις φλόγες|Denis Villeneuve |Lubna Azabal, Mélissa Désormeaux-Poulin|8.2|169,675|2010|https://www.imdb.com/title/tt1255953/
8579674|Movie|1917|Sam Mendes |Dean-Charles Chapman, George MacKay|8.2|534,960|2019|https://www.imdb.com/title/tt8579674/
0986264|Movie|Taare Zameen Par|Aamir Khan |Darsheel Safary, Aamir Khan|8.2|186,120|2007|https://www.imdb.com/title/tt0986264/
0372784|Movie|Μπάτμαν: Η αρχή|Christopher Nolan |Christian Bale, Michael Caine|8.2|1,396,859|2005|https://www.imdb.com/title/tt0372784/
0059578|Movie|Μονομαχία στο Ελ Πάσο|Sergio Leone |Clint Eastwood, Lee Van Cleef|8.2|249,265|1965|https://www.imdb.com/title/tt0059578/
5074352|Movie|Dangal|Nitesh Tiwari |Aamir Khan, Sakshi Tanwar|8.2|178,904|2016|https://www.imdb.com/title/tt5074352/
0363163|Movie|Η πτώση|Oliver Hirschbiegel |Bruno Ganz, Alexandra Maria Lara|8.2|347,739|2004|https://www.imdb.com/title/tt0363163/
